"doc_id","area","subarea","layer","doc_name","doc_type","owner_dept","file_format","related_controls","fills","existing","completeness","priority","status","files"
"G-11","共通基盤","評価方法論","L2","J-SOX評価実施要領（整備・運用評価の方法／サンプリング基準／不備判定基準）","マニュアル","内部監査室","PDF","ELC-010/011","評価手続／サンプル件数","なし","完備","A","生成済","00_common/G-11_J-SOX評価実施要領_v5.0_20240401.pdf"
"G-12","共通基盤","成果物様式","L3","RCM・業務記述書 標準テンプレート＋記載要領（項目定義書）","様式","内部監査室","xlsx+docx","全般","成果物フォーマット全項目","なし","完備","A","生成済","00_common/G-12_RCM・業務記述書_標準テンプレート_v3.0_20240401.xlsx | 00_common/G-12_RCM・業務記述書_記載要領_v3.0_20240401.docx"
"G-13","共通基盤","定義","L0","リスク／アサーション定義集・統制属性コード表","定義書","内部監査室","xlsx","全般","リスク／アサーション／統制属性","なし","完備","B","生成済","00_common/G-13_リスク・アサーション定義集_統制属性コード表_v3.0_20240401.xlsx"
"G-14","共通基盤","定義","L0","用語集・略号定義（システム／部門／文書番号）","定義書","内部監査室","md","全般","記述の用語統一","なし","完備","C","生成済","00_common/G-14_用語集・略号定義_v2026.03.md"
"E-01","全社的内部統制(ELC)","統制環境","L1","R08 倫理綱領・行動規範","規程","総務部","PDF","ELC-002","統制の内容／業務の目的","なし","完備","A","生成済","10_elc/01_control_environment/E-01_倫理綱領_v3.0_20230401.pdf"
"E-02","全社的内部統制(ELC)","統制環境","L1","R04 コンプライアンス規程＋コンプライアンス推進年間計画","規程+計画","総務部","PDF","ELC-002","統制の内容／頻度","なし","完備","A","生成済","10_elc/01_control_environment/E-02_コンプライアンス推進年間計画_FY2025_20250401.xlsx | 10_elc/01_control_environment/E-02_コンプライアンス規程_v4.1_20240401.pdf"
"E-03","全社的内部統制(ELC)","統制環境","L1","R01 取締役会規則＋付議基準（決議事項・報告事項一覧）","規程+表","総務部","PDF+xlsx","ELC-001","統制の内容／統制主体／頻度","なし","完備","A","生成済","10_elc/01_control_environment/E-03_取締役会付議基準_v5.0_20230627.xlsx | 10_elc/01_control_environment/E-03_取締役会規則_v5.0_20230627.pdf"
"E-04","全社的内部統制(ELC)","統制環境","L1","R02 監査等委員会規則＋年間活動計画・監査等委員会監査基準","規程+計画","総務部","PDF","ELC-001","統制の内容／統制主体／頻度","なし","完備","A","生成済","10_elc/01_control_environment/E-04_監査等委員会_年間活動計画_FY2025_20250401.xlsx | 10_elc/01_control_environment/E-04_監査等委員会規則・監査等委員会監査基準_v3.0_20230627.pdf"
"E-05","全社的内部統制(ELC)","統制環境","L1","コーポレートガバナンス基本方針","方針","総務部","PDF","ELC-001/003","統制の内容","なし","完備","B","生成済","10_elc/01_control_environment/E-05_コーポレートガバナンス基本方針_v2.1_20230627.pdf"
"E-06","全社的内部統制(ELC)","統制環境","L1","R37 会議体運営規程（経営会議規程）＋会議体一覧・付議基準","規程+表","総務部","PDF+xlsx","ELC-007/009","統制主体／頻度／情報伝達経路","なし","完備","B","生成済","10_elc/01_control_environment/E-06_会議体一覧・付議基準_v2026.03_20260331.xlsx | 10_elc/01_control_environment/E-06_会議体運営規程_v4.0_20230401.pdf"
"E-07","全社的内部統制(ELC)","統制環境","L1","人事考課規程・教育研修規程＋FY2025年間研修計画","規程+計画","人事部","PDF","ELC-002/003","統制の内容／頻度","なし","完備","B","生成済","10_elc/01_control_environment/E-07_人事考課規程・教育研修規程_v3.0_20240401.pdf | 10_elc/01_control_environment/E-07_年間研修計画_FY2025_20250401.xlsx"
"E-08","全社的内部統制(ELC)","統制環境","L1","R07 関係会社管理規程＋子会社管理要領（親会社承認事項・報告事項一覧）","規程+要領","経営企画部","PDF+xlsx","ELC-003/009","対象範囲／統制主体／情報伝達経路","なし","完備","A","生成済","10_elc/01_control_environment/E-08_子会社管理要領_承認事項・報告事項一覧_v2.0_20230401.xlsx | 10_elc/01_control_environment/E-08_関係会社管理規程_v3.0_20230401.pdf"
"E-09","全社的内部統制(ELC)","統制環境","L1","就業規則（服務規律・懲戒条項の抜粋）","規程","人事部","PDF","ELC-002","統制の内容","なし","完備","C","生成済","10_elc/01_control_environment/E-09_就業規則_服務規律・懲戒条項抜粋_v6.0_20240401.pdf"
"E-10","全社的内部統制(ELC)","リスクの評価と対応","L1","R05 リスク管理規程","規程","経営企画部","PDF","ELC-004","統制の内容／頻度","なし","完備","A","生成済","10_elc/02_risk_assessment/E-10_リスク管理規程_v3.2_20230401.pdf"
"E-11","全社的内部統制(ELC)","リスクの評価と対応","L2","全社リスクアセスメント実施要領＋リスクアセスメントシート（ブランク様式）","要領+様式","経営企画部","PDF+xlsx","ELC-004","リスクの内容／評価手続／証跡","実績xlsxあり（4.evidence/ELC）","完備","A","生成済","10_elc/02_risk_assessment/E-11_リスクアセスメントシート_v3.0_20230401.xlsx | 10_elc/02_risk_assessment/E-11_全社リスクアセスメント実施要領_v3.0_20230401.pdf"
"E-12","全社的内部統制(ELC)","リスクの評価と対応","L4","全社リスクマップ・トップリスク一覧（TR01-TR08の定義書）","資料","経営企画部","xlsx","ELC-004","リスクの内容","なし","完備","B","生成済","10_elc/02_risk_assessment/E-12_全社リスクマップ・トップリスク一覧_FY2025_20250620.xlsx"
"E-13","全社的内部統制(ELC)","リスクの評価と対応","L2","不正リスク評価要領＋不正リスク評価シート（動機／機会／正当化・シナリオ別）","要領+様式","内部監査室","PDF+xlsx","ELC-005","リスクの内容／評価手続","なし","完備","A","生成済","10_elc/02_risk_assessment/E-13_不正リスク評価シート_v2.0_20240401.xlsx | 10_elc/02_risk_assessment/E-13_不正リスク評価要領_v2.0_20240401.pdf"
"E-14","全社的内部統制(ELC)","リスクの評価と対応","L0","中期経営計画・FY2025年度事業計画（要約版）","資料","経営企画部","PDF","ELC-004","リスクの内容（源泉）","なし","完備","C","生成済","10_elc/02_risk_assessment/E-14_中期経営計画・FY2025年度事業計画_要約版_FY2025_20250325.pdf"
"E-15","全社的内部統制(ELC)","リスクの評価と対応","L2","法令・会計基準改正モニタリング要領＋改正対応管理表","要領+台帳","経理部","PDF+xlsx","ELC-006/009","統制の内容／頻度","なし","完備","B","生成済","10_elc/02_risk_assessment/E-15_法令・会計基準改正モニタリング要領_v2.0_20240401.pdf | 10_elc/02_risk_assessment/E-15_法令・会計基準改正対応管理表_FY2025_20260331.xlsx"
"E-16","全社的内部統制(ELC)","統制活動","L0","職務分掌マトリクス（SoD定義書：不可分職務の組合せ定義）","定義書","情報システム部","xlsx","ELC-003 / ITGC-AC","統制主体／リスクの内容","user_roles_matrix.xlsx あり（判定ルール側が未整備）","部分","A","生成済","10_elc/03_control_activities/E-16_職務分掌マトリクス_SoD定義書_v2.0_20240401.xlsx"
"E-17","全社的内部統制(ELC)","統制活動","L2","規程・業務手順 年次レビュー要領＋レビュー台帳（ブランク様式）","要領+様式","総務部","PDF+xlsx","ELC-006","統制の内容／頻度／証跡","実績台帳あり（4.evidence/ELC）","完備","A","生成済","10_elc/03_control_activities/E-17_規程・業務手順_年次レビュー台帳_v2.0_20230401.xlsx | 10_elc/03_control_activities/E-17_規程・業務手順_年次レビュー要領_v2.0_20230401.pdf"
"E-18","全社的内部統制(ELC)","統制活動","L0","業務規程一式の目次・要旨（R11-R19の位置づけ整理）","資料","総務部","md","ELC-006","関連規程","なし","完備","C","生成済","10_elc/03_control_activities/E-18_業務規程一式_目次・要旨_v2026.03.md"
"E-19","全社的内部統制(ELC)","情報と伝達","L1","R06 内部通報規程＋通報対応手順書（受付〜調査〜報告）・窓口周知資料","規程+手順書","総務部","PDF","ELC-008","業務の流れ／統制主体／例外処理","なし","完備","A","生成済","10_elc/04_information_communication/E-19_内部通報規程・通報対応手順書_v4.0_20220601.pdf"
"E-20","全社的内部統制(ELC)","情報と伝達","L2","財務報告連絡会 運営要領（メンバー・付議事項・開催頻度・記録ルール）","要領","経理部","PDF","ELC-009","統制主体／頻度／証跡","なし","完備","A","生成済","10_elc/04_information_communication/E-20_財務報告連絡会_運営要領_v2.0_20230401.pdf"
"E-21","全社的内部統制(ELC)","情報と伝達","L1","R29 情報開示規程（ディスクロージャーポリシー）＋開示体制図","規程+図表","経営企画部","PDF","ELC-009 / FCRP-005","統制の内容／統制主体","なし","完備","A","生成済","10_elc/04_information_communication/E-21_情報開示規程・開示体制図_v4.0_20230401.pdf"
"E-22","全社的内部統制(ELC)","情報と伝達","L1","インサイダー取引管理規程","規程","総務部","PDF","ELC-008","統制の内容","なし","完備","C","生成済","10_elc/04_information_communication/E-22_インサイダー取引管理規程_v3.0_20220401.pdf"
"E-23","全社的内部統制(ELC)","情報と伝達","L2","重要事象エスカレーション基準・社内報告ライン図","基準+図表","総務部","PDF","ELC-008","例外処理／情報伝達経路","なし","完備","B","生成済","10_elc/04_information_communication/E-23_重要事象エスカレーション基準・社内報告ライン図_v2.0_20240401.pdf"
"E-24","全社的内部統制(ELC)","情報と伝達","L1","R31 文書管理規程（証憑保存年限・電子帳簿保存法対応）","規程","総務部","PDF","全般","統制の証跡／保存","なし","完備","B","生成済","10_elc/04_information_communication/E-24_文書管理規程_v4.0_20230401.pdf"
"E-25","全社的内部統制(ELC)","モニタリング","L1","R03 内部監査規程＋内部監査実施要領","規程+要領","内部監査室","PDF","ELC-010","統制の内容／頻度／評価手続","なし","完備","A","生成済","10_elc/05_monitoring/E-25_内部監査規程・内部監査実施要領_v6.0_20240401.pdf"
"E-26","全社的内部統制(ELC)","モニタリング","L2","日常的モニタリング要領＋部門別自己点検（CSA）チェックシート様式","要領+様式","内部監査室","PDF+xlsx","ELC-010","統制の内容／頻度／証跡","なし","完備","B","生成済","10_elc/05_monitoring/E-26_日常的モニタリング要領_v2.0_20240401.pdf | 10_elc/05_monitoring/E-26_自己点検_CSAチェックシート_v2.0_20240401.xlsx"
"E-27","全社的内部統制(ELC)","モニタリング","L2","不備評価・是正措置管理要領（重要な不備の判定基準・判定フロー）","要領","内部監査室","PDF","ELC-011","評価手続／不備判定基準","なし","完備","A","生成済","10_elc/05_monitoring/E-27_不備評価・是正措置管理要領_v3.0_20240401.pdf"
"E-28","全社的内部統制(ELC)","モニタリング","L2","外部監査人対応要領＋前期マネジメントレター・改善対応表","要領+資料","経理部","PDF+xlsx","ELC-010/011","統制の内容／情報伝達経路","なし","完備","B","生成済","10_elc/05_monitoring/E-28_マネジメントレター改善対応表_FY2024-FY2025_20260331.xlsx | 10_elc/05_monitoring/E-28_外部監査人対応要領_v2.0_20230401.pdf"
"E-29","全社的内部統制(ELC)","モニタリング","L0","前期（FY2024）内部統制報告書・評価結果サマリ","資料","内部監査室","PDF","ELC-011","前期評価結果（比較）","なし","完備","C","生成済","10_elc/05_monitoring/E-29_FY2024_内部統制報告書・評価結果サマリ_FY2024_20240625.pdf"
"E-30","全社的内部統制(ELC)","モニタリング","L1","R36 内部統制報告制度（J-SOX）運営規程","規程","内部監査室","PDF","ELC全般","統制の内容／統制主体","なし","完備","B","生成済","10_elc/05_monitoring/E-30_内部統制報告制度_J-SOX_運営規程_v3.0_20240401.pdf"
"E-31","全社的内部統制(ELC)","ITへの対応","L1","IT基本方針・IT中期計画（FY2025年次IT計画を含む）","方針+計画","情報システム部","PDF","ELC-012","統制の内容／頻度","なし","完備","A","生成済","10_elc/06_it/E-31_IT基本方針・IT中期計画_v3.0_20250401.pdf"
"E-32","全社的内部統制(ELC)","ITへの対応","L1","R21 情報セキュリティ基本方針（要旨）","方針","情報システム部","PDF","ELC-012 / ITGC-AC","統制の内容","なし","完備","B","生成済","10_elc/06_it/E-32_情報セキュリティ基本方針_v4.0_20240401.pdf"
"E-33","全社的内部統制(ELC)","ITへの対応","L1","R25 外部委託管理規程＋委託先選定・評価基準","規程+基準","情報システム部","PDF","ELC-012 / ITGC-EM","統制の内容／統制主体","なし","完備","A","生成済","10_elc/06_it/E-33_外部委託管理規程・委託先選定評価基準_v2.1_20230401.pdf"
"E-34","全社的内部統制(ELC)","ITへの対応","L2","SOC1報告書レビュー要領＋CUEC対応台帳（ブランク様式）","要領+様式","情報システム部","PDF+xlsx","ELC-012","統制の内容／証跡","実績xlsx・SOC1報告書あり（4.evidence/ELC）","部分(GAP-8)","A","生成済","10_elc/06_it/E-34_CUEC対応台帳_v2.0_20240401.xlsx | 10_elc/06_it/E-34_SOC1報告書レビュー要領_v2.0_20240401.pdf"
"C-01","全社的な決算・財務報告プロセス","会計の基本ルール","L1","R16 経理規程（会計処理の基本原則・証憑・記帳・承認）","規程","経理部","PDF","FCRP全般","統制の内容／業務の目的","なし","完備","A","生成済","20_close_entity/C-01_経理規程_v6.0_20240401.pdf"
"C-02","全社的な決算・財務報告プロセス","会計の基本ルール","L1","R17 決算業務規程","規程","経理部","PDF","FCRP-001","統制の内容／頻度／統制主体","なし","意図的欠落(GAP-1: 2019年版のまま)","A","生成済","20_close_entity/C-02_決算業務規程_v3.0_20190401.pdf"
"C-03","全社的な決算・財務報告プロセス","会計の基本ルール","L2","重要な会計方針マニュアル（収益認識・棚卸・減価償却・引当金・税効果・退給・リース・外貨）","マニュアル","経理部","docx","FCRP-003/005","関連勘定科目／アサーション／統制の内容","なし","完備","A","生成済","20_close_entity/C-03_重要な会計方針マニュアル_v4.0_20240401.docx"
"C-04","全社的な決算・財務報告プロセス","連結","L1","R28 連結決算規程","規程","経理部","PDF","FCRP-002/004","統制の内容／統制主体","なし","完備","A","生成済","20_close_entity/C-04_連結決算規程_v2.0_20240401.pdf"
"C-05","全社的な決算・財務報告プロセス","連結","L2","連結決算マニュアル（親会社側の手順総則）","マニュアル","経理部","docx","FCRP-002/004","業務の流れ／頻度","なし","完備","A","生成済","20_close_entity/C-05_連結決算マニュアル_v2.1_20250401.docx"
"C-06","全社的な決算・財務報告プロセス","連結","L2","グループ統一会計方針書（子会社適用ルール・決算日・報告様式）","マニュアル","経理部","docx","FCRP-002","対象範囲／統制の内容","なし","完備","A","生成済","20_close_entity/C-06_グループ統一会計方針書_v3.0_20240401.docx"
"C-07","全社的な決算・財務報告プロセス","連結","L3","連結パッケージ記入要領＋連結パッケージ（ブランク様式）","要領+様式","経理部","docx+xlsx","FCRP-002","使用帳票／証跡","記入済パッケージあり（6.consolidation/01_packages）","完備","A","生成済","20_close_entity/C-07_連結パッケージ_ブランク様式_v2.1_20250401.xlsx | 20_close_entity/C-07_連結パッケージ記入要領_v2.1_20250401.docx"
"C-08","全社的な決算・財務報告プロセス","スケジュール","L4","決算スケジュール（月次／四半期／年度）＋決算締めカレンダー","計画","経理部","xlsx","FCRP-001","頻度／期限","連結決算スケジュールあり（6.consolidation/00_master）","完備","A","生成済","20_close_entity/C-08_決算スケジュール・締めカレンダー_FY2025_20250401.xlsx"
"C-09","全社的な決算・財務報告プロセス","体制","L4","決算業務分担表（担当者・レビュアー・期限・成果物）","台帳","経理部","xlsx","FCRP-001","統制主体／承認・レビュー","なし","完備","A","生成済","20_close_entity/C-09_決算業務分担表_FY2025_20250401.xlsx"
"C-10","全社的な決算・財務報告プロセス","体制","L0","決算体制図（親子会社の役割分担・経理部要員配置・要求スキル）","図表","経理部","PDF","ELC-003 / FCRP-001","関連部署／統制主体","なし","完備","B","生成済","20_close_entity/C-10_決算体制図_FY2025_20250401.pdf"
"C-11","全社的な決算・財務報告プロセス","会計基準対応","L2","会計基準改正対応要領＋新基準適用検討シート様式","要領+様式","経理部","PDF+xlsx","ELC-006 / FCRP-005","統制の内容／証跡","なし","完備","B","生成済","20_close_entity/C-11_会計基準改正対応要領_v2.0_20240401.pdf | 20_close_entity/C-11_新基準適用検討シート_v2.0_20240401.xlsx"
"C-12","全社的な決算・財務報告プロセス","月次決算","L0","月次決算チェックリスト マスタ定義書（45項目の定義・判定基準・担当）","定義書","経理部","xlsx","FCRP-001","統制の内容／証跡／統制主体","記入済12ヶ月分あり（4.evidence/FCRP）","意図的欠落(GAP-7: 暫定運用注記)","A","生成済","20_close_entity/C-12_月次決算チェックリスト_マスタ定義書_v3.0_暫定_20240401.xlsx"
"C-13","全社的な決算・財務報告プロセス","仕訳","L2","仕訳承認基準／手入力仕訳（トップサイドエントリー）管理要領","要領","経理部","PDF","FCRP-001","承認・レビュー／統制主体","なし","完備","A","生成済","20_close_entity/C-13_仕訳承認基準・手入力仕訳管理要領_v2.0_20240401.pdf"
"C-14","全社的な決算・財務報告プロセス","F/S作成","L2","財務諸表作成手順書（TB→F/S組替表・組替根拠一覧）","手順書","経理部","docx+xlsx","FCRP-005","業務の流れ／使用帳票","なし","完備","A","生成済","20_close_entity/C-14_TB-FS組替表_FY2025_20260331.xlsx | 20_close_entity/C-14_財務諸表作成手順書_v2.0_20240401.docx"
"C-15","全社的な決算・財務報告プロセス","注記","L3","注記情報収集要領＋注記事項収集シート様式（関連当事者／セグメント／金融商品／リース／税効果／退給／後発事象）","要領+様式","経理部","docx+xlsx","FCRP-005","業務の流れ／使用帳票／証跡","なし","完備","A","生成済","20_close_entity/C-15_注記事項収集シート_v2.0_20240401.xlsx | 20_close_entity/C-15_注記情報収集要領_v2.0_20240401.docx"
"C-16","全社的な決算・財務報告プロセス","開示","L2","開示書類作成手順書（有報・短信・決算説明資料）","手順書","経営企画部","docx","FCRP-005","業務の流れ／統制主体","なし","完備","A","生成済","20_close_entity/C-16_開示書類作成手順書_v3.0_20240401.docx"
"C-17","全社的な決算・財務報告プロセス","開示","L3","開示チェックリスト（記載項目・前期比較・数値整合）","様式","経営企画部","xlsx","FCRP-005","統制の内容／証跡","なし","完備","A","生成済","20_close_entity/C-17_開示チェックリスト_v3.0_20240401.xlsx"
"C-18","全社的な決算・財務報告プロセス","開示","L2","XBRLタグ付け・検証手順書","手順書","経営企画部","docx","FCRP-005","業務の流れ／使用システム","なし","完備","B","生成済","20_close_entity/C-18_XBRLタグ付け・検証手順書_v2.0_20240401.docx"
"C-19","全社的な決算・財務報告プロセス","開示","L2","開示3段階レビュー要領（レビュー観点・証跡の残し方）","要領","経理部","PDF","FCRP-005","承認・レビュー／証跡","なし","完備","A","生成済","20_close_entity/C-19_開示3段階レビュー要領_v2.0_20230401.pdf"
"C-20","全社的な決算・財務報告プロセス","EUC","L2","R27 EUC管理規程の決算適用要領＋決算関連EUC台帳様式","要領+様式","情報システム部","PDF+xlsx","FCRP-003 / ITGC","統制の内容／証跡","なし","完備","B","未作成（意図的欠落）",""
"C-21","全社的な決算・財務報告プロセス","報告","L2","内部統制報告書作成要領","要領","内部監査室","PDF","ELC-011","業務の流れ／承認・レビュー","なし","完備","C","生成済","20_close_entity/C-21_内部統制報告書作成要領_v2.0_20240401.pdf"
"F-01","決算・財務報告プロセス統制(FCRP)","月次決算・締め処理","L2","月次決算手順書（部門別締め・締めステップ・前後依存関係）","手順書","経理部","docx","FCRP-001","業務の流れ／頻度／統制主体","なし","完備","A","生成済","30_close_process/01_monthly_close/F-01_月次決算手順書_v3.0_20250401.docx"
"F-02","決算・財務報告プロセス統制(FCRP)","月次決算・締め処理","L2","SAP期末処理 操作手順書（Tコード・ジョブ・実行順・エラー時対応）","手順書","経理部/情報システム部","docx","FCRP-001 / ITAC","使用システム／業務の流れ／例外処理","なし","完備","A","生成済","30_close_process/01_monthly_close/F-02_SAP期末処理_操作手順書_v2.2_20250401.docx"
"F-03","決算・財務報告プロセス統制(FCRP)","月次決算・締め処理","L3","増減分析（フラックス分析）要領＋分析シート様式（閾値・説明要否基準）","要領+様式","経理部","PDF+xlsx","FCRP-001","統制の内容／証跡","なし","完備","A","生成済","30_close_process/01_monthly_close/F-03_増減分析_フラックス分析_要領_v2.0_20240401.pdf | 30_close_process/01_monthly_close/F-03_増減分析シート_v2.0_20240401.xlsx"
"F-04","決算・財務報告プロセス統制(FCRP)","月次決算・締め処理","L3","月次業績報告資料 様式・報告フロー","様式","経理部","xlsx","ELC-007","情報伝達経路／頻度","なし","完備","C","生成済","30_close_process/01_monthly_close/F-04_月次業績報告資料_様式_v2.0_20240401.xlsx"
"F-05","決算・財務報告プロセス統制(FCRP)","勘定残高照合","L2","勘定残高照合実施要領（対象勘定一覧・頻度・照合者／承認者・差異許容基準・調査期限）","要領","経理部","PDF","FCRP-001","統制の内容／統制主体／頻度","なし","完備","A","生成済","30_close_process/02_reconciliation/F-05_勘定残高照合実施要領_v3.0_20240401.pdf"
"F-06","決算・財務報告プロセス統制(FCRP)","勘定残高照合","L3","照合シート様式集（預金／売掛金／買掛金／棚卸資産／固定資産／未払・仮勘定／GL-補助元帳）","様式","経理部","xlsx","FCRP-001","使用帳票／証跡","なし","意図的欠落(GAP-4: 仮勘定・GL-補助元帳の様式なし)","A","生成済","30_close_process/02_reconciliation/F-06_勘定残高照合シート様式集_v3.0_20240401.xlsx"
"F-07","決算・財務報告プロセス統制(FCRP)","勘定残高照合","L3","照合差異管理表 様式・エスカレーション基準","様式+基準","経理部","xlsx","FCRP-001","例外処理／証跡","なし","完備","B","生成済","30_close_process/02_reconciliation/F-07_照合差異管理表・エスカレーション基準_v2.0_20240401.xlsx"
"F-08","決算・財務報告プロセス統制(FCRP)","仕訳処理・承認","L2","仕訳入力・承認手順書（自動仕訳／手入力仕訳の区分・証憑添付ルール）","手順書","経理部","docx","FCRP-001","業務の流れ／承認・レビュー","なし","完備","A","生成済","30_close_process/03_journal_entry/F-08_仕訳入力・承認手順書_v2.0_20240401.docx"
"F-09","決算・財務報告プロセス統制(FCRP)","仕訳処理・承認","L3","仕訳承認権限表（金額・仕訳種類別）／仕訳伝票様式","表+様式","経理部","xlsx","FCRP-001","承認・レビュー／統制主体","なし","意図的欠落(GAP-2: G-05と金額基準が不整合)","A","生成済","30_close_process/03_journal_entry/F-09_仕訳承認権限表・仕訳伝票様式_v2.0_20240401.xlsx"
"F-10","決算・財務報告プロセス統制(FCRP)","仕訳処理・承認","L3","決算修正仕訳一覧 様式","様式","経理部","xlsx","FCRP-001","使用帳票／証跡","なし","完備","B","生成済","30_close_process/03_journal_entry/F-10_決算修正仕訳一覧_様式_v2.0_20240401.xlsx"
"F-11","決算・財務報告プロセス統制(FCRP)","仕訳処理・承認","L2","異常仕訳モニタリング要領（抽出条件定義：休日・深夜・丸め数値・特定勘定・自己承認）","要領","内部監査室","PDF","ELC-005 / FCRP-001","リスクの内容／評価手続","なし","完備","B","生成済","30_close_process/03_journal_entry/F-11_異常仕訳モニタリング要領_v2.0_20240401.pdf"
"F-12","決算・財務報告プロセス統制(FCRP)","会計上の見積り","L2","貸倒引当金 計上基準・算定要領（一般債権の実績率法／個別評価債権の判定）","要領","経理部","PDF","FCRP-003","統制の内容／アサーション（評価の妥当性）","なし","完備","A","生成済","30_close_process/04_estimates/F-12_貸倒引当金_計上基準・算定要領_v3.0_20240401.pdf"
"F-13","決算・財務報告プロセス統制(FCRP)","会計上の見積り","L3","貸倒引当金計算シート／債権年齢表／個別評価債権判定シート／取引先信用調査シート（ブランク様式）","様式","経理部","xlsx","FCRP-003","使用帳票／証跡","記入済シートあり（4.evidence/FCRP）","完備","A","生成済","30_close_process/04_estimates/F-13_貸倒引当金計算シート・債権年齢表・個別評価判定シート_v3.0_20240401.xlsx"
"F-14","決算・財務報告プロセス統制(FCRP)","会計上の見積り","L2","棚卸資産評価基準・算定要領（滞留判定・回転期間基準・正味売却価額）","要領","経理部","PDF","FCRP-003 / PLC-I","統制の内容／アサーション（評価の妥当性）","なし","意図的欠落(GAP-3: 作成しない＝口頭運用)","A","未作成（意図的欠落）",""
"F-15","決算・財務報告プロセス統制(FCRP)","会計上の見積り","L3","棚卸資産評価損計算シート／在庫年齢分析シート（ブランク様式）","様式","経理部","xlsx","FCRP-003 / PLC-I","使用帳票／証跡","なし","完備","A","生成済","30_close_process/04_estimates/F-15_棚卸資産評価損計算シート・在庫年齢分析シート_v1.3_20220401.xlsx"
"F-16","決算・財務報告プロセス統制(FCRP)","会計上の見積り","L2","固定資産減損会計 適用要領（グルーピング方針・兆候の識別・割引率の決定）","要領","経理部","PDF","FCRP-003","統制の内容／アサーション（評価の妥当性）","なし","完備","A","生成済","30_close_process/04_estimates/F-16_固定資産減損会計_適用要領_v3.0_20240401.pdf"
"F-17","決算・財務報告プロセス統制(FCRP)","会計上の見積り","L3","減損兆候判定シート／将来CF見積シート／減損損失計算シート（ブランク様式）","様式","経理部","xlsx","FCRP-003","使用帳票／証跡","記入済シートあり（4.evidence/FCRP）","完備","A","生成済","30_close_process/04_estimates/F-17_減損兆候判定シート・将来CF見積シート・減損損失計算シート_v3.0_20240401.xlsx"
"F-18","決算・財務報告プロセス統制(FCRP)","会計上の見積り","L2","退職給付会計 要領＋数理計算上の基礎率決定資料・年金数理人報告書（要約）","要領+資料","経理部","PDF","FCRP-003","統制の内容／証跡","なし","完備","B","生成済","30_close_process/04_estimates/F-18_退職給付会計_要領・数理計算基礎率決定資料_v2.0_20240401.pdf"
